Vertices, Edges, vCount, eCount, pqCount, ElogV, operations,,,Vertices, operations,, ElogV, operations
50,20,3,1,1,78.24046011,70,,,50,70,,78.24046011,70
10,35,11,35,16,80.59047825,45,,,10,45,,80.59047825,45
20,35,4,3,2,104.8506296,55,,,20,55,,104.8506296,55
30,35,13,15,10,119.0419084,65,,,30,65,,119.0419084,65
40,35,3,1,1,129.1107809,75,,,40,75,,129.1107809,75
50,35,9,7,8,136.9208052,85,,,50,85,,136.9208052,85
10,50,11,50,30,115.1292546,60,,,10,60,,115.1292546,60
20,50,19,44,41,149.7866137,70,,,20,70,,149.7866137,70
30,50,17,20,23,170.0598691,80,,,30,80,,170.0598691,80
40,50,5,3,1,184.4439727,90,,,40,90,,184.4439727,90
50,50,8,6,3,195.6011503,100,,,50,100,,195.6011503,100
10,65,11,65,41,149.668031,75,,,10,75,,149.668031,75
20,65,20,64,52,194.7225978,85,,,20,85,,194.7225978,85
30,65,27,56,56,221.0778298,95,,,30,95,,221.0778298,95
40,65,27,40,48,239.7771645,105,,,40,105,,239.7771645,105
10,20,10,19,10,46.05170186,30,,,10,30,,46.05170186,30
50,65,21,22,19,254.2814954,115,,,50,115,,254.2814954,115
10,80,11,80,39,184.2068074,90,,,10,90,,184.2068074,90
20,80,20,79,66,239.6585819,100,,,20,100,,239.6585819,100
30,80,3,1,1,272.0957905,110,,,30,110,,272.0957905,110
40,80,36,71,90,295.1103563,120,,,40,120,,295.1103563,120
50,80,19,25,12,312.9618404,130,,,50,130,,312.9618404,130
20,20,6,4,2,59.91464547,40,,,20,40,,59.91464547,40
30,20,4,2,2,68.02394763,50,,,30,50,,68.02394763,50
40,20,6,4,4,73.77758908,60,,,40,60,,73.77758908,60
50,20,10,9,8,78.24046011,70,,,50,70,,78.24046011,70
10,35,11,35,16,80.59047825,45,,,10,45,,80.59047825,45
20,35,13,16,11,104.8506296,55,,,20,55,,104.8506296,55
30,35,10,10,5,119.0419084,65,,,30,65,,119.0419084,65
40,35,6,4,4,129.1107809,75,,,40,75,,129.1107809,75
